Away Team,Home Team,Date,Time,Court
Team 1,Team 2,2025-10-23,8:00 AM,Court 1
Team 3,Team 10,2025-10-23,8:00 AM,Court 2
Team 11,Team 4,2025-10-23,8:45 AM,Court 1
Team 5,Team 12,2025-10-23,8:45 AM,Court 2
Team 6,Team 13,2025-10-23,9:30 AM,Court 1
Team 7,Team 14,2025-10-23,9:30 AM,Court 2
Team 8,Team 15,2025-10-23,10:15 AM,Court 1
Team 9,Team 16,2025-10-23,10:15 AM,Court 2
Team 11,Team 6,2025-10-30,8:00 AM,Court 1
Team 12,Team 7,2025-10-30,8:00 AM,Court 2
Team 2,Team 4,2025-10-30,8:45 AM,Court 1
Team 10,Team 5,2025-10-30,8:45 AM,Court 2
Team 13,Team 8,2025-10-30,9:30 AM,Court 1
Team 14,Team 9,2025-10-30,9:30 AM,Court 2
Team 15,Team 16,2025-10-30,10:15 AM,Court 1
Team 1,Team 3,2025-10-30,10:15 AM,Court 2
Team 2,Team 6,2025-11-06,8:00 AM,Court 1
Team 4,Team 1,2025-11-06,8:00 AM,Court 2
Team 8,Team 11,2025-11-06,8:45 AM,Court 1
Team 9,Team 12,2025-11-06,8:45 AM,Court 2
Team 5,Team 3,2025-11-06,9:30 AM,Court 1
Team 15,Team 14,2025-11-06,9:30 AM,Court 2
Team 7,Team 10,2025-11-06,10:15 AM,Court 1
Team 16,Team 13,2025-11-06,10:15 AM,Court 2
Team 2,Team 8,2025-11-13,8:00 AM,Court 1
Team 13,Team 14,2025-11-13,8:00 AM,Court 2
Team 11,Team 16,2025-11-13,8:45 AM,Court 1
Team 12,Team 15,2025-11-13,8:45 AM,Court 2
Team 10,Team 9,2025-11-13,9:30 AM,Court 1
Team 1,Team 5,2025-11-13,9:30 AM,Court 2
Team 4,Team 6,2025-11-13,10:15 AM,Court 1
Team 3,Team 7,2025-11-13,10:15 AM,Court 2
Team 7,Team 5,2025-11-20,8:00 AM,Court 1
Team 15,Team 10,2025-11-20,8:00 AM,Court 2
Team 9,Team 3,2025-11-20,8:45 AM,Court 1
Team 13,Team 12,2025-11-20,8:45 AM,Court 2
Team 6,Team 1,2025-11-20,9:30 AM,Court 1
Team 16,Team 2,2025-11-20,9:30 AM,Court 2
Team 4,Team 8,2025-11-20,10:15 AM,Court 1
Team 14,Team 11,2025-11-20,10:15 AM,Court 2
Team 11,Team 12,2025-12-04,8:00 AM,Court 1
Team 16,Team 4,2025-12-04,8:00 AM,Court 2
Team 14,Team 2,2025-12-04,8:45 AM,Court 1
Team 1,Team 7,2025-12-04,8:45 AM,Court 2
Team 6,Team 8,2025-12-04,9:30 AM,Court 1
Team 5,Team 9,2025-12-04,9:30 AM,Court 2
Team 3,Team 15,2025-12-04,10:15 AM,Court 1
Team 10,Team 13,2025-12-04,10:15 AM,Court 2
Team 12,Team 2,2025-12-11,8:00 AM,Court 1
Team 11,Team 10,2025-12-11,8:00 AM,Court 2
Team 8,Team 1,2025-12-11,8:45 AM,Court 1
