Home Team,Away Team,Date,Tome,Court
Avalon Estates (H),Huntington Lakes (A),2025-12-01,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Cove (A),2025-12-01,09:01:01 AM,court 1
Ponte Vecchio (H),Valencia Pointe (A),2025-12-01,09:02:02 AM,court 1
Polo Trace (H),Valencia Falls (A),2025-12-01,09:03:03 AM,court 1
Avalon Estates (H),Ponte Vecchio (A),2025-12-08,09:00:00 AM,court 1
Cascades Ballers (H),Polo Trace (A),2025-12-08,09:01:01 AM,court 1
Huntington Lakes (H),Valencia Falls (A),2025-12-08,09:02:02 AM,court 1
Valencia Cove (H),Valencia Pointe (A),2025-12-08,09:03:03 AM,court 1
Avalon Estates (H),Valencia Cove (A),2025-12-15,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Falls (A),2025-12-15,09:01:01 AM,court 1
Huntington Lakes (H),Valencia Pointe (A),2025-12-15,09:02:02 AM,court 1
Polo Trace (H),Ponte Vecchio (A),2025-12-15,09:03:03 AM,court 1
Avalon Estates (H),Cascades Ballers (A),2026-01-05,09:00:00 AM,court 1
Huntington Lakes (H),Polo Trace (A),2026-01-05,09:01:01 AM,court 1
Ponte Vecchio (H),Valencia Cove (A),2026-01-05,09:02:02 AM,court 1
Valencia Falls (H),Valencia Pointe (A),2026-01-05,09:03:03 AM,court 1
Avalon Estates (H),Polo Trace (A),2026-01-12,09:00:00 AM,court 1
Cascades Ballers (H),Huntington Lakes (A),2026-01-12,09:01:01 AM,court 1
Valencia Cove (H),Valencia Falls (A),2026-01-12,09:02:02 AM,court 1
Ponte Vecchio (H),Valencia Pointe (A),2026-01-12,09:03:03 AM,court 1
Avalon Estates (H),Valencia Falls (A),2026-01-19,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Pointe (A),2026-01-19,09:01:01 AM,court 1
Huntington Lakes (H),Ponte Vecchio (A),2026-01-19,09:02:02 AM,court 1
Polo Trace (H),Valencia Cove (A),2026-01-19,09:03:03 AM,court 1
Avalon Estates (H),Valencia Pointe (A),2026-01-26,09:00:00 AM,court 1
Cascades Ballers (H),Ponte Vecchio (A),2026-01-26,09:01:01 AM,court 1
Huntington Lakes (H),Valencia Cove (A),2026-01-26,09:02:02 AM,court 1
Polo Trace (H),Valencia Falls (A),2026-01-26,09:03:03 AM,court 1
Avalon Estates (H),Huntington Lakes (A),2026-02-02,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Cove (A),2026-02-02,09:01:01 AM,court 1
Ponte Vecchio (H),Valencia Pointe (A),2026-02-02,09:02:02 AM,court 1
Polo Trace (H),Valencia Falls (A),2026-02-02,09:03:03 AM,court 1
Avalon Estates (H),Ponte Vecchio (A),2026-02-09,09:00:00 AM,court 1
Cascades Ballers (H),Polo Trace (A),2026-02-09,09:01:01 AM,court 1
Huntington Lakes (H),Valencia Falls (A),2026-02-09,09:02:02 AM,court 1
Valencia Cove (H),Valencia Pointe (A),2026-02-09,09:03:03 AM,court 1
Avalon Estates (H),Valencia Cove (A),2026-02-16,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Falls (A),2026-02-16,09:01:01 AM,court 1
Huntington Lakes (H),Valencia Pointe (A),2026-02-16,09:02:02 AM,court 1
Polo Trace (H),Ponte Vecchio (A),2026-02-16,09:03:03 AM,court 1
Avalon Estates (H),Cascades Ballers (A),2026-03-02,09:00:00 AM,court 1
Huntington Lakes (H),Polo Trace (A),2026-03-02,09:01:01 AM,court 1
Ponte Vecchio (H),Valencia Cove (A),2026-03-02,09:02:02 AM,court 1
Valencia Falls (H),Valencia Pointe (A),2026-03-02,09:03:03 AM,court 1
Avalon Estates (H),Polo Trace (A),2026-03-09,09:00:00 AM,court 1
Cascades Ballers (H),Huntington Lakes (A),2026-03-09,09:01:01 AM,court 1
Valencia Cove (H),Valencia Falls (A),2026-03-09,09:02:02 AM,court 1
Ponte Vecchio (H),Valencia Pointe (A),2026-03-09,09:03:03 AM,court 1
Avalon Estates (H),Valencia Falls (A),2026-03-16,09:00:00 AM,court 1
Cascades Ballers (H),Valencia Pointe (A),2026-03-16,09:01:01 AM,court 1
Huntington Lakes (H),Ponte Vecchio (A),2026-03-16,09:02:02 AM,court 1
Polo Trace (H),Valencia Cove (A),2026-03-16,09:03:03 AM,court 1
