Date,Match 1,Match 2,Match 3,Match 4
2026-12-01,1 (H) vs 3 (A),2 (H) vs 6 (A),5 (H) vs 8 (A),4 (H) vs 7 (A)
2026-12-08,1 (H) vs 5 (A),2 (H) vs 4 (A),3 (H) vs 7 (A),6 (H) vs 8 (A)
2026-12-15,1 (H) vs 6 (A),2 (H) vs 7 (A),3 (H) vs 8 (A),4 (H) vs 5 (A)
2026-01-05,1 (H) vs 2 (A),3 (H) vs 4 (A),5 (H) vs 6 (A),7 (H) vs 8 (A)
2026-01-12,1 (H) vs 4 (A),2 (H) vs 3 (A),6 (H) vs 7 (A),5 (H) vs 8 (A)
2026-01-19,1 (H) vs 7 (A),2 (H) vs 8 (A),3 (H) vs 5 (A),4 (H) vs 6 (A)
2026-01-26,1 (H) vs 8 (A),2 (H) vs 5 (A),3 (H) vs 6 (A),4 (H) vs 7 (A)
2026-02-02,1 (H) vs 3 (A),2 (H) vs 6 (A),5 (H) vs 8 (A),4 (H) vs 7 (A)
2026-02-09,1 (H) vs 5 (A),2 (H) vs 4 (A),3 (H) vs 7 (A),6 (H) vs 8 (A)
2026-02-16,1 (H) vs 6 (A),2 (H) vs 7 (A),3 (H) vs 8 (A),4 (H) vs 5 (A)
2026-03-02,1 (H) vs 2 (A),3 (H) vs 4 (A),5 (H) vs 6 (A),7 (H) vs 8 (A)
2026-03-09,1 (H) vs 4 (A),2 (H) vs 3 (A),6 (H) vs 7 (A),5 (H) vs 8 (A)
2026-03-16,1 (H) vs 7 (A),2 (H) vs 8 (A),3 (H) vs 5 (A),4 (H) vs 6 (A)
